Date,Volume
1/1/2018,2299
1/2/2018,3143
1/3/2018,2994
1/4/2018,3421
1/5/2018,3241
1/6/2018,2793
1/7/2018,2562
1/8/2018,3587
1/9/2018,3384
1/10/2018,3276
1/11/2018,2872
1/12/2018,2730
1/13/2018,2302
1/14/2018,2180
1/15/2018,2731
1/16/2018,2894
1/17/2018,2650
1/18/2018,2437
1/19/2018,2777
1/20/2018,2314
1/21/2018,2119
1/22/2018,2724
1/23/2018,2431
1/24/2018,2655
1/25/2018,2571
1/26/2018,2520
1/27/2018,2181
1/28/2018,2455
1/29/2018,3141
1/30/2018,2843
1/31/2018,2686
2/1/2018,2043
2/2/2018,1866
2/3/2018,1769
2/4/2018,1613
2/5/2018,2211
2/6/2018,2490
2/7/2018,2220
2/8/2018,2078
2/9/2018,2092
2/10/2018,1827
2/11/2018,1899
2/12/2018,2529
2/13/2018,2265
2/14/2018,2170
2/15/2018,2316
2/16/2018,2268
2/17/2018,1918
2/18/2018,1928
2/19/2018,2539
2/20/2018,2508
2/21/2018,2404
2/22/2018,2555
2/23/2018,2327
2/24/2018,2110
2/25/2018,2038
2/26/2018,2918
2/27/2018,2896
2/28/2018,2524
3/1/2018,2713
3/2/2018,2598
3/3/2018,2277
3/4/2018,2286
3/5/2018,3312
3/6/2018,3318
3/7/2018,3106
3/8/2018,3117
3/9/2018,2697
3/10/2018,2260
3/11/2018,2083
3/12/2018,2751
3/13/2018,2602
3/14/2018,2564
3/15/2018,2241
3/16/2018,2016
3/17/2018,1835
3/18/2018,1842
3/19/2018,2417
3/20/2018,2288
3/21/2018,2291
3/22/2018,2254
3/23/2018,2018
3/24/2018,1784
3/25/2018,1814
3/26/2018,2360
3/27/2018,2288
3/28/2018,2363
3/29/2018,2675
3/30/2018,2632
3/31/2018,2295
4/1/2018,1893
4/2/2018,3033
4/3/2018,2569
4/4/2018,2605
4/5/2018,2653
4/6/2018,2454
4/7/2018,2156
4/8/2018,2250
4/9/2018,2955
4/10/2018,2827
4/11/2018,2709
4/12/2018,2731
4/13/2018,2743
4/14/2018,2298
4/15/2018,2376
4/16/2018,3178
4/17/2018,2701
4/18/2018,2337
4/19/2018,2436
4/20/2018,2256
4/21/2018,1868
4/22/2018,1913
4/23/2018,2652
4/24/2018,2630
4/25/2018,2551
4/26/2018,2612
4/27/2018,2376
4/28/2018,2020
4/29/2018,1902
4/30/2018,2906
5/1/2018,2949
5/2/2018,2693
5/3/2018,2775
5/4/2018,2328
5/5/2018,1855
5/6/2018,2001
5/7/2018,2801
5/8/2018,2758
5/9/2018,2607
5/10/2018,2549
5/11/2018,2217
5/12/2018,1770
5/13/2018,1461
5/14/2018,2477
5/15/2018,2437
5/16/2018,2423
5/17/2018,2246
5/18/2018,2090
5/19/2018,1722
5/20/2018,1809
5/21/2018,2559
5/22/2018,2370
5/23/2018,2213
5/24/2018,2190
5/25/2018,2044
5/26/2018,1863
5/27/2018,1552
5/28/2018,1859
5/29/2018,2519
5/30/2018,2304
5/31/2018,2333
6/1/2018,2108
6/2/2018,1774
6/3/2018,1858
6/4/2018,2334
6/5/2018,2224
6/6/2018,2226
6/7/2018,2223
6/8/2018,2075
6/9/2018,1785
6/10/2018,1753
6/11/2018,2348
6/12/2018,2248
6/13/2018,2305
6/14/2018,2231
6/15/2018,1779
6/16/2018,1674
6/17/2018,1478
6/18/2018,2231
6/19/2018,2260
6/20/2018,2341
6/21/2018,2281
6/22/2018,2226
6/23/2018,1736
6/24/2018,1779
6/25/2018,2687
6/26/2018,2408
6/27/2018,2554
6/28/2018,2212
6/29/2018,2104
6/30/2018,1710
7/1/2018,1762
7/2/2018,2478
7/3/2018,2043
7/4/2018,1432
7/5/2018,2183
7/6/2018,2167
7/7/2018,1901
7/8/2018,1828
7/9/2018,2619
7/10/2018,2434
7/11/2018,2423
7/12/2018,2200
7/13/2018,2183
7/14/2018,1823
7/15/2018,1760
7/16/2018,2598
7/17/2018,2325
7/18/2018,2533
7/19/2018,2166
7/20/2018,2037
7/21/2018,1748
7/22/2018,1865
7/23/2018,2670
7/24/2018,2816
7/25/2018,2761
7/26/2018,2624
7/27/2018,2530
7/28/2018,2238
7/29/2018,1920
7/30/2018,3085
7/31/2018,2991
8/1/2018,2573
8/2/2018,2492
8/3/2018,2336
8/4/2018,1992
8/5/2018,1986
8/6/2018,2641
8/7/2018,2375
8/8/2018,2236
8/9/2018,2052
8/10/2018,1997
8/11/2018,1735
8/12/2018,1593
8/13/2018,2479
8/14/2018,2204
8/15/2018,2056
8/16/2018,2082
8/17/2018,1956
8/18/2018,1586
8/19/2018,1505
8/20/2018,2178
8/21/2018,2060
8/22/2018,2064
8/23/2018,2025
8/24/2018,1969
8/25/2018,1633
8/26/2018,1563
8/27/2018,2416
8/28/2018,2208
8/29/2018,2079
8/30/2018,2060
8/31/2018,1939
9/1/2018,1823
9/2/2018,1360
9/3/2018,1657
9/4/2018,1942
9/5/2018,1801
9/6/2018,1837
9/7/2018,1764
9/8/2018,1443
9/9/2018,1231
9/10/2018,1751
9/11/2018,1708
9/12/2018,1657
9/13/2018,1583
9/14/2018,1446
9/15/2018,1385
9/16/2018,1151
9/17/2018,1941
9/18/2018,1859
9/19/2018,1797
9/20/2018,1772
9/21/2018,1644
9/22/2018,1502
9/23/2018,1342
9/24/2018,2035
9/25/2018,1949
9/26/2018,1807
9/27/2018,1814
9/28/2018,1845
9/29/2018,1587
9/30/2018,1492
10/1/2018,1896
10/2/2018,1985
10/3/2018,2001
10/4/2018,1982
10/5/2018,1886
10/6/2018,1614
10/7/2018,1516
10/8/2018,2155
10/9/2018,2053
10/10/2018,2155
10/11/2018,2144
10/12/2018,1873
10/13/2018,1597
10/14/2018,1366
10/15/2018,2250
10/16/2018,2151
10/17/2018,2119
10/18/2018,1980
10/19/2018,1811
10/20/2018,1633
10/21/2018,1436
10/22/2018,2115
10/23/2018,2139
10/24/2018,2103
10/25/2018,1952
10/26/2018,1801
10/27/2018,1707
10/28/2018,1399
10/29/2018,2262
10/30/2018,2041
10/31/2018,1949
11/1/2018,2214
11/2/2018,2136
11/3/2018,1683
11/4/2018,1582
11/5/2018,2448
11/6/2018,2153
11/7/2018,2030
11/8/2018,2081
11/9/2018,2177
11/10/2018,1778
11/11/2018,1559
11/12/2018,2281
11/13/2018,2610
11/14/2018,2074
11/15/2018,2024
11/16/2018,1866
11/17/2018,1534
11/18/2018,1284
11/19/2018,1709
11/20/2018,1744
11/21/2018,1572
11/22/2018,897
11/23/2018,1610
11/24/2018,1441
11/25/2018,1432
11/26/2018,2179
11/27/2018,2155
11/28/2018,2196
11/29/2018,1924
11/30/2018,1900
12/1/2018,1589
12/2/2018,1294
12/3/2018,2237
12/4/2018,2166
12/5/2018,2017
12/6/2018,1888
12/7/2018,1746
12/8/2018,1378
12/9/2018,1103
12/10/2018,1898
12/11/2018,1914
12/12/2018,1678
12/13/2018,1729
12/14/2018,1594
12/15/2018,1212
12/16/2018,1121
12/17/2018,1936
12/18/2018,1816
12/19/2018,1761
12/20/2018,1744
12/21/2018,1654
12/22/2018,1220
12/23/2018,929
12/24/2018,1020
12/25/2018,661
12/26/2018,1833
12/27/2018,1936
12/28/2018,2152
12/29/2018,1674
12/30/2018,1269
12/31/2018,1994
1/1/2019,1671
1/2/2019,2576
1/3/2019,2566
